time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
109,30,3318,824,9.3204505,4.01,0.09917737543582916,0.001,2317,0.000771542196162045,-7.616074562072754,-9.2789945602417
109,30,3334,828,9.32193133,4.01,0.09762610495090485,0.001,2333,0.001478883670642972,-7.589460849761963,-9.218857765197754
108,30,3350,832,9.325247449999999,4.01,0.09610054641962051,0.001,2349,0.0015944365877658129,-7.610960960388184,-9.389959335327148
108,30,3366,836,9.327701650000002,4.01,0.0945957824587822,0.001,2365,0.0014339066110551357,-7.649965763092041,-9.263846397399902
108,31,3382,840,9.33053956,4.01,0.093114472925663,0.001,2381,0.001460112165659666,-7.775312423706055,-9.225732803344727
108,31,3398,844,9.32870425,4.01,0.09166327863931656,0.001,2397,0.0016926341922953725,-7.846412658691406,-9.286920547485352
108,31,3414,848,9.32836571,4.01,0.09023666381835938,0.001,2413,0.0012911761878058314,-7.952147483825684,-9.21980094909668
108,31,3430,852,9.32642728,4.01,0.08882757276296616,0.001,2429,0.0021865745075047016,-7.8664960861206055,-9.164178848266602
107,31,3446,856,9.33084541,4.01,0.08744325488805771,0.001,2445,0.006639130413532257,-7.959822654724121,-9.347500801086426
107,32,3462,860,9.330593980000002,4.01,0.0860847607254982,0.001,2461,0.002613548655062914,-8.078581809997559,-9.273716926574707
107,32,3478,864,9.33578392,4.01,0.08474285155534744,0.001,2477,0.002311531687155366,-8.18455982208252,-9.247326850891113
107,32,3494,868,9.33295239,4.01,0.08341757208108902,0.001,2493,0.00152162229642272,-8.08254623413086,-9.229049682617188
107,32,3510,872,9.33515562,4.01,0.08211980015039444,0.001,2509,0.0028469283133745193,-8.03670883178711,-9.124382019042969
107,32,3526,876,9.33781106,4.01,0.08084595948457718,0.001,2525,0.002168978564441204,-8.101937294006348,-9.223950386047363
106,33,3542,880,9.34253172,4.01,0.07959060370922089,0.001,2541,0.0015209270641207695,-8.284883499145508,-9.175863265991211
106,33,3558,884,9.34385525,4.01,0.07835336029529572,0.001,2557,0.0009293925249949098,-8.348827362060547,-9.189332962036133
106,33,3574,888,9.344961210000001,4.01,0.07713628560304642,0.001,2573,0.003754278412088752,-8.241155624389648,-9.12374210357666
106,33,3590,892,9.347826929999998,4.0,0.07594309747219086,0.001,2589,0.0012769531458616257,-8.376066207885742,-9.205394744873047
106,33,3606,896,9.345419629999999,4.0,0.07476822286844254,0.001,2605,0.003031528554856777,-8.296833038330078,-9.235712051391602
